country,year,mean,se
LIB,1975,-11.164428741846297,4.121543131428349
LIB,1976,-11.344529950948465,3.7438198501460778
LIB,1977,-11.665136671366366,3.908137804809792
LIB,1978,-11.447820696831034,3.8611865976545228
LIB,1979,-11.67923350447707,4.069587613176777
LIB,1980,-11.923394117863815,4.021727775957256
LIB,1981,-11.755743838110966,3.6577672388751257
LIB,1982,-11.824072826550784,3.501609044967557
LIB,1983,-11.912487944226148,2.875804753077154
LIB,1984,-11.771449751501775,2.211516429416263
LIB,1985,-12.00783221323856,2.1087395802466626
LIB,1986,-11.808571668177674,2.0071042363471707
LIB,1987,-12.211390501339503,2.3084829874085258
LIB,1988,-11.91391151713241,2.243963194807622
LIB,1989,-12.147063227363157,2.6450501008009906
LIB,1990,-12.464636304276885,2.7253365263476845
LIB,1991,-12.399890096010049,2.851788783755662
LIB,1992,-12.771429098720178,3.398795106913801
LIB,1993,-12.884999330724094,3.329639332327199
LIB,1994,-12.969994239060139,3.564363667214811
LIB,1995,-13.19808505902967,3.516772363904765
LIB,1996,-13.388953009393985,3.6802818218497766
LIB,1997,-13.97234958298793,3.4916255746482285
LIB,1998,-14.210262589203044,3.5887199223879787
LIB,1999,-14.721452790143953,3.7170051894828346
LIB,2000,-15.363310749095934,3.533050085807165
LIB,2001,-16.122361893388053,3.612564360534143
LIB,2002,-16.378930978130857,3.410065531335056
LIB,2003,-16.751047446228586,3.3506757549929653
LIB,2004,-17.26821257704321,3.558068943128962
LIB,2005,-17.591987907302087,3.5492666837401843
LIB,2006,-18.28164426798817,3.693450471690695
LIB,2007,-18.370577695825745,4.140589108139754
LIB,2008,-18.31331418402526,4.343456733169337
LIB,2009,-18.301742006642105,4.754973702826732
LIB,2010,-18.39186080100529,5.46605837244501
LIB,2011,-18.515489727384274,6.157741629193148
LIB,2012,-18.675718620176603,6.581233348544011
LIB,2013,-18.32458417835652,6.802030631484355
LIT,1945,3.360303223727649,4.8944263699052275
LIT,1946,3.4471015920782837,5.1195588647075185
